"TerrID","FemID","MaleID","Repro","Npups","hs_8km","nterr_50km","area_buffer50km","densTerr_50km","Delta_bfem","sYear","nyears"
79,178,64,1,4,0.62811962890625,2,7850.39343644168,2.00091414463793,2,2017,2
84,113,176,1,5,0.476681365966797,21,6657.56944473297,24.773848126203,3,2017,7
96,122,NA,1,3,0.462036682128906,9,5746.92672310483,12.2997626577674,1,2017,3
127,146,128,1,2,0.331673370361328,10,7041.12454203398,11.154442144984,1,2017,3
133,142,153,1,3,0.311334320068359,19,7704.89677024501,19.3676379444562,2,2017,2
141,140,161,1,7,0.407827453613281,16,7792.16244323902,16.1269361437178,3,2017,3
12,198,208,1,1,0.419763275146484,17,7850.39343644157,17.0077702294227,1,2017,1
86,114,NA,1,4,0.441743774414062,14,7850.3934364416,14.0063990124657,1,2017,1
138,155,168,1,5,0.536251281738281,1,3533.13069620092,2.22295247736509,1,2017,1
74,120,138,1,4,0.327225891113281,20,4815.49568841932,32.6196185903036,1,2017,3
106,12,171,1,5,0.505266815185547,23,5231.81818597088,34.5274952531423,6,2017,13
105,8,186,1,6,0.399587219238281,20,4562.80279093384,34.4261279474104,7,2017,7
25,14,132,1,6,0.5747119140625,21,3969.45257741266,41.5507204323297,7,2017,12
73,73,160,1,7,0.273999725341797,31,7451.69545792215,32.6735616113195,1,2017,1
24,32,137,1,5,0.408742980957031,23,5529.38234958331,32.669395270708,6,2017,9
123,28,122,1,1,0.277760040283203,26,7006.94070621863,29.1430356049833,4,2017,4
78,36,120,1,2,0.253793228149414,17,3737.45277946909,35.7242474101659,3,2017,3
23,163,NA,1,2,0.411577911376953,9,7850.39343644145,9.00411365087098,1,2017,1
104,123,117,1,6,0.384733154296875,28,6458.2440353726,34.0512815165861,2,2017,2
90,121,188,1,2,0.198751663208008,18,6311.46465970255,22.3991857728636,1,2017,1
93,133,9,1,6,0.471906707763672,27,6264.33004321191,33.851585509467,1,2017,10
21,139,201,1,5,0.187342926025391,17,4920.45280183044,27.1352440832065,1,2017,2
114,151,136,1,4,0.213434204101562,17,7850.39343644155,17.0077702294227,2,2017,2
14,138,85,1,3,0.414641235351562,18,3657.82742078167,38.6490813121331,3,2017,3
49,61,124,1,3,0.324373199462891,12,7850.39343644142,12.005484867828,3,2017,3
72,145,NA,1,1,0.282274719238281,28,7335.81526914783,29.9777840202936,1,2017,1
100,102,205,1,1,0.325929229736328,16,3238.98732888195,38.7972206692667,1,2017,1
70,119,159,1,5,0.423750091552734,5,7850.39343644135,5.00228536159505,2,2017,2
148,95,106,1,6,0.618712768554687,2,4581.11515059392,3.42885143716864,4,2017,4
119,18,180,1,3,0.390100189208984,2,7850.39343644162,2.00091414463795,1,2017,1
13,79,96,1,2,0.544904418945312,9,7850.39343644171,9.00411365087067,5,2017,5
111,134,131,1,6,0.415634124755859,9,7850.39343644167,9.00411365087073,2,2017,2
48,125,146,1,9,0.448572784423828,9,7850.3934364417,9.00411365087069,2,2017,2
130,128,123,1,7,0.400232055664063,10,7850.39343644164,10.0045707231897,2,2017,2
97,180,116,1,6,0.456861785888672,11,7850.39343644165,11.0050277955087,1,2017,6
34,153,37,1,7,0.440198120117188,10,7850.3934364416,10.0045707231898,1,2017,1
11,116,165,1,4,0.264447479248047,1,7850.39343644166,1.00045707231897,1,2017,1
